Datetime,Close
01-03-2021 12:08,1228
01-03-2021 12:08,19
01-03-2021 12:08,89
01-03-2021 12:08,33
01-03-2021 12:08,2306
01-03-2021 12:08,24
01-03-2021 12:08,9
01-03-2021 12:08,270
01-03-2021 12:08,1131
01-03-2021 12:08,883
01-03-2021 12:08,459
01-03-2021 12:08,567
01-03-2021 12:08,553
01-03-2021 12:08,100
01-03-2021 12:08,606
01-03-2021 12:08,30
01-03-2021 12:08,679
01-03-2021 12:08,1330
01-03-2021 12:08,454
01-03-2021 12:08,53
01-03-2021 12:08,72
01-03-2021 12:08,491
01-03-2021 12:08,809
01-03-2021 12:08,669
01-03-2021 12:08,525
01-03-2021 12:08,1037
01-03-2021 12:08,175
01-03-2021 12:08,501
01-03-2021 12:08,610
01-03-2021 12:08,379
01-03-2021 12:08,1529
01-03-2021 12:08,11
01-03-2021 12:08,190
01-03-2021 12:08,53
01-03-2021 12:08,995
01-03-2021 12:08,25
01-03-2021 12:08,791
01-03-2021 12:08,270
01-03-2021 12:08,99
01-03-2021 12:08,239
01-03-2021 12:08,178
01-03-2021 12:08,920
01-03-2021 12:08,125
01-03-2021 12:08,655
01-03-2021 12:08,13
01-03-2021 12:08,15
01-03-2021 12:08,1688
01-03-2021 12:08,8
01-03-2021 12:08,1076
01-03-2021 12:08,48
01-03-2021 12:08,379
01-03-2021 12:08,502
01-03-2021 12:08,69
01-03-2021 12:08,315
01-03-2021 12:08,985
01-03-2021 12:08,868
01-03-2021 12:08,1010
01-03-2021 12:08,498
01-03-2021 12:08,407
01-03-2021 12:08,48
01-03-2021 12:08,11
